station,key,value
71886,icao,CYDC
71886,ghcn,CA004019073
71886,usaf,718864
D0979,national,00979
94839,wmo,94839
94839,ghcn,ASN00080128
82281,wmo,82281
82281,icao,SBSL
82281,iata,SLZ
82281,usaf,822810
E7R70,national,45547
84248,wmo,84248
84248,icao,SEMH
84248,iata,MCH
84248,usaf,842480
42099,wmo,42099
42099,ghcn,IN018091100
42099,usaf,420990
67067,wmo,67067
67067,ghcn,MAM00067067
D7075,national,07075
45005,wmo,45005
45005,ghcn,CHM00045005
76342,wmo,76342
76342,icao,MMMV
76342,iata,LOV
76342,ghcn,MX000005047
76342,usaf,763420
36G8S,national,53020
60405,wmo,60405
60405,ghcn,AGM00060405
16320,wmo,16320
16320,icao,LIBR
16320,iata,BDS
16320,ghcn,IT000016320
16320,usaf,163200
16320,mosmix,16320
43227,wmo,43227
43227,usaf,432270
71851,national,10884
71851,wmo,71851
71851,icao,CYPG
71851,iata,YPG
71851,ghcn,CA005012320
71851,usaf,718510
78701,wmo,78701
78701,icao,MHNO
78701,usaf,787180
42837,wmo,42837
42837,usaf,428370
KSSF0,icao,KSSF
KSSF0,wban,12970
KSSF0,usaf,722523
71674,national,46130
71674,wmo,71674
71674,icao,CPFO
71674,ghcn,CA003012653
71674,usaf,716740
81774,wmo,81774
81774,usaf,817740
93781,wmo,93781
93781,ghcn,NZ000936150
93781,usaf,937810
93781,mosmix,93781
UWKS0,icao,UWKS
UWKS0,iata,CSY
UWKS0,usaf,279622
48475,wmo,48475
48475,icao,VTPH
48475,ghcn,TH000048475
48475,usaf,484750
48475,mosmix,48475
KS320,icao,KS32
KS320,wban,00327
KS320,usaf,A07141
31977,wmo,31977
31977,ghcn,RSM00031977
80476,wmo,80476
80476,ghcn,VEM00080476
71987,national,10814
71987,wmo,71987
71987,icao,CWNE
71987,ghcn,CA008300516
71987,usaf,719870
64659,wmo,64659
64659,icao,FEFB
64659,ghcn,CT000004659
64659,usaf,646590
D0071,national,00071
48402,wmo,48402
48402,usaf,484020
72782,wmo,72782
72782,icao,KEAT
72782,wban,94239
72782,usaf,727825
34122,wmo,34122
34122,icao,UUOO
34122,usaf,341220
D3740,national,03740
37876,wmo,37876
37876,ghcn,AM000037874
KGXA0,icao,KGXA
KGXA0,usaf,720952
KFHB0,icao,KFHB
KFHB0,wban,00326
KFHB0,usaf,720946
11692,wmo,11692
11692,icao,LKNA
11692,usaf,116920
11692,mosmix,11692
40153,wmo,40153
40153,ghcn,IS000004640
16058,wmo,16058
16058,usaf,160580
92072,wmo,92072
92072,icao,AYHK
92072,iata,HKN
92072,ghcn,PPM00092072
35302,wmo,35302
35302,ghcn,KZ000035302
35302,usaf,353020
HJ26V,national,181
17190,wmo,17190
17190,icao,LTAH
17190,iata,AFY
17190,ghcn,TUM00017190
17190,usaf,171900
45007,wmo,45007
45007,icao,VHHH
45007,iata,HKG
45007,usaf,450070
45007,mosmix,45007
12135,wmo,12135
12135,usaf,121350
12135,mosmix,12135
RKTP0,icao,RKTP
47055,wmo,47055
47055,ghcn,KNM00047055
47055,mosmix,47055
71103,wmo,71103
71103,icao,CYQZ
71103,iata,YQZ
71103,ghcn,CA001096601
71103,usaf,711030
ZGDY0,icao,ZGDY
ZGDY0,iata,DYG
ZGDY0,usaf,564625
47134,wmo,47134
47134,icao,RKTY
47134,iata,YEC
47134,usaf,471340
95621,wmo,95621
95621,ghcn,ASN00009994
86315,wmo,86315
86315,ghcn,UY000086315
72413,wmo,72413
72413,ghcn,USW00063849
72413,wban,93895
FSE8R,icao,KAUN
10453,national,00722
10453,wmo,10453
10453,ghcn,GME00114621
10453,mosmix,10453
48692,wmo,48692
48692,icao,WSSL
48692,iata,XSP
48692,usaf,486990
42116,wmo,42116
42116,ghcn,IN023150900
KGKY0,icao,KGKY
KGKY0,wban,53907
KGKY0,usaf,722479
29736,wmo,29736
29736,ghcn,RSM00029736
5XE6M,national,45307
5XE6M,wmo,71180
5XE6M,ghcn,CA008404343
5XE6M,usaf,711800
02773,wmo,02773
02773,usaf,027730
33495,wmo,33495
33495,ghcn,UPM00033495
43324,wmo,43324
43324,ghcn,IN020133801
KPBG0,icao,KPBG
KPBG0,iata,PBG
KPBG0,wban,04742
KPBG0,usaf,726225
07D7K,national,03220
01203,wmo,01203
01203,usaf,012030
61769,wmo,61769
61769,icao,GGBO
61769,ghcn,PUM00061769
47637,wmo,47637
47637,ghcn,JA000047637
KSRC0,icao,KSRC
KSRC0,wban,53985
KSRC0,usaf,722188
KCPC0,icao,KCPC
KCPC0,wban,93799
KCPC0,usaf,720274
D7327,national,07327
KPAN0,icao,KPAN
KPAN0,wban,00374
KPAN0,usaf,723745
83597,wmo,83597
83597,ghcn,BR001940004
T81NZ,national,53518
KBIX0,icao,KBIX
KBIX0,iata,BIX
KBIX0,wban,13820
KBIX0,usaf,747686
81703,wmo,81703
81703,usaf,817030
26425,wmo,26425
26425,ghcn,LG000026425
26477,wmo,26477
26477,icao,ULOL
26477,iata,VLU
26477,ghcn,RSM00026477
26477,usaf,264770
85230,wmo,85230
85230,icao,SLCN
85230,ghcn,BL000085230
85230,usaf,852300
KEDC0,icao,KEDC
KEDC0,wban,00230
KEDC0,usaf,720648
30337,wmo,30337
30337,ghcn,RSM00030337
ESOH0,icao,ESOH
ESOH0,iata,HFS
16312,wmo,16312
16312,icao,LIBV
16312,usaf,163120
LIER0,icao,LIER
LIER0,iata,FNU
LIER0,usaf,165020
KOKH0,icao,KOKH
KOKH0,usaf,727964
86897,wmo,86897
86897,usaf,868970
YOGKW,national,50270
KENL0,icao,KENL
KENL0,wban,53887
KENL0,usaf,744657
D4150,national,04150
71686,icao,CVOB
94661,wmo,94661
94661,iata,CVC
94661,ghcn,ASN00018014
81910,wmo,81910
81910,usaf,819100
71565,national,43561
71565,wmo,71565
71565,icao,CNLB
71565,ghcn,CA003023740
71565,usaf,715670
KVBT0,icao,KVBT
KVBT0,wban,03978
KVBT0,usaf,723444
86741,wmo,86741
86741,usaf,867410
TXQWW,icao,K7W4
01419,wmo,01419
01419,usaf,014190
01419,national,SN45530
37107,wmo,37107
37107,ghcn,RSM00037107
67221,wmo,67221
67221,icao,FQMR
67221,usaf,672210
