station,language,name
71886,en,Princeton Airport
D0979,en,Dillenburg
94839,en,Charlton
82281,en,Sao Luiz Aeroporto
E7R70,en,Nipissing
84248,en,Machala / General M. Serrano
42099,en,Ludhiana
67067,en,Ambohitsilaozana / Angoja
D7075,en,Elsendorf-Horneck
45005,en,Royal Observatory
76342,en,"Monclova, Coah."
36G8S,en,Buffalo Narrows Airport
60405,en,Guelma / Bouchegouf
16320,en,Brindisi
43227,en,Haveri / H?veri
71851,en,Portage Southport
78701,en,Guanaja
42837,en,Mahuva
KSSF0,en,San Antonio / Bergs Mill
71674,en,Forestburg AGCM
81774,en,Sao Goncalo / São Gonçalo
93781,en,Christchurch Aerodrome Aws
UWKS0,en,Cheboksary / Sin’yaly
48475,en,Hua Hin
KS320,en,Cooperstown
31977,en,Vladivostok Sad Gorod
80476,en,La Canada
71987,en,North Cape
64659,en,Obo
D0071,en,Albstadt-Badkap
48402,en,Chai Nat Agromet / Ban Khung Mae Luk On
72782,en,Malaga
34122,en,Voronez
D3740,en,Lohmen/Sachsen
37876,en,Ararat / Yeghegnadzor
KGXA0,en,Palmdale / El Mirage
KFHB0,en,Fernandina Beach / Amelia Island
11692,en,Namest Nad Oslavou
40153,en,Mount Kenaan / ?efat
16058,en,Bousson
92072,en,Hoskins / Kwalakesi
35302,en,Chapaevo
HJ26V,en,Little Qualicum Hatchery
17190,en,Afyon
45007,en,Hong Kong Inter-National Airport
12135,en,Hel
RKTP0,en,Hae Mi / Changgodo
47055,en,Wonsan
71103,en,Quesnel Airport
ZGDY0,en,Sifangyan / Zhangjiajie / Dayong
47134,en,Yechon Ab
95621,en,Collie East
86315,en,Bella Union
72413,en,Pikeville
FSE8R,en,Auburn Municipal Airport
10453,en,Brocken
48692,en,Singapore / Seletar
42116,en,Joshimath
KGKY0,en,Arlington / Southland Acres
29736,en,Masljanino
5XE6M,en,Wreckhouse
02773,en,Turku Artukainen / Pahaniemi
33495,en,Veselyi Podil
43324,en,Ariyalur
KPBG0,en,Plattsburgh / Lts Mobile Home Park
07D7K,en,Meeder-ottowind
01203,en,Krakenes
61769,en,Bolama
47637,en,Iida
KSRC0,en,Searcy / Gum Springs (Historical)
KCPC0,en,Whiteville / Brunswick
D7327,en,Frankenberg-Altenhain
KPAN0,en,Payson / Fort McDonald
83597,en,Linhares
T81NZ,en,Kugaaruk Airport
KBIX0,en,Biloxi / B And H Mobile Home Park
81703,en,Parintins
26425,en,Jelgava
26477,en,Velikie Luki
85230,en,Charana
KEDC0,en,Austin / New Sweden
30337,en,Kazachinsk
ESOH0,en,Hagfors / Uddeholm
16312,en,Gioia Del Colle
LIER0,en,Fenosu / Oristano (Sardinia) / Palmas Arborea
KOKH0,en,Oak Harbor / Penn Cove Park
86897,en,Icaraima / Icaraíma
YOGKW,en,Burwash Airport
KENL0,en,Centralia
D4150,en,Reken-Groß Reken
71686,en,Whistler Mountain / Whistler Village
94661,en,Cleve
81910,en,Ouricuri / Sítio Tanque
71565,en,Leedale Agdm
KVBT0,en,Bentonville
86741,en,Salinas
TXQWW,en,Lake Anna Airport
01419,en,Liarvatn / Tysdal
37107,en,Krasnaya Polyana
67221,en,Marrupa
64402,en,Mouyondzi
71272,en,Beausoleil Island
D4016,en,Prosselsheim-Seligenstadt
41594,en,Sargodha
K40J0,en,Perry / Everetts Mobile Home Park
47185,en,Cheju Upper / Radar
86800,en,Belo Horizonte - Pampulha
63793,en,Voi
83574,en,Frutal
47615,en,Utsunomiya
KHIO0,en,Portland / Orenco
60320,en,Ceuta
28382,en,Ust'- Isim
08536,en,Lisboa / Portela
38867,en,Humragi
KSQI0,en,Sterling Rock Falls Airport / Yeoward Addition
VYTN0,en,Tanai / ’Nritu Ga
KSBP0,en,San Luis Obispo / Steele (Historical)
48567,en,Trang
11993,en,Kamenica Nad Cirochou
57Z0A,en,Yuma Municipal Airport
KEZS0,en,Shawano
15099,en,Huedin
KMWH0,en,Moses Lake / Moses Lake North
91348,en,"Pohnpei Island, Pohnpei Int. Airp."
27208,en,Maksatikha
KFTG0,en,Colorado Air and Space Port
YO0CJ,en,Bas Caraquet
SCRD0,en,Viña Del Mar / Población Parque Forestal
98436,en,Fernando Ab
78062,en,"Freeport, Grand Bahama"
01124,en,Kjobli I Snasa / Åsan
16271,en,Bari / Carbonara di Bari
RJNA0,en,Nagoya / Kita-toyama
MUCL0,en,Cayo Largo Del Sur / Marina Cayo Largo
KI350,en,Harlan / Loyall
10948,en,Oberstdorf
93947,en,Campbell Island Aws
KBHK0,en,Baker
01368,en,Fagernes Leirin
KFRM0,en,Fairmont / Fairmont Estates
26179,en,Novgorod
29974,en,Olen'Ja Recka
41768,en,Chhor
97310,en,Larantuka
KONA0,en,Winona / Country Valley Mobile Home Park
01366,en,Sognefjell
95643,en,Harvey
10305,en,Lingen
49629,en,Churchill Falls Airport
KFCH0,en,Fresno / West Park
86260,en,San Juan Bautista Misiones
KHEQ0,en,Holyoke
5WIOQ,en,London Madison County Airport
83361,en,Cuiaba
42830,en,Porbandar
10238,en,Bergen
D3413,en,Münzenberg-Gambach
43081,en,Nizamabad
06647,en,Psi Wuerenlingen / Beznau
KRNC0,en,McMinnville / Bethany
94203,en,Broome Port
KHHR0,en,Hawthorne / Cypave
33990,en,Yalta
71842,en,Sioux Lookout Airport
OIBJ0,en,Jam / Ch?h Gach?
MDAB0,en,Samana / Rancho Español
83221,en,Feira De Santana
D4712,en,Simonswald-Obersimonswald
86968,en,Urubici / Capivara Alta
KMHE0,en,Mitchell / River Bluff Addition
70116,en,Wales
22271,en,Sojna
03761,en,Odiham
51747,en,Tazhong
84072,en,Inaquito / Hacienda Merizalde
29498,en,Sitkino
27441,en,Suja
N74GR,en,Dryden Regional
KGRK0,en,Killeen / Fort Hood / Montague Village
KEWK0,en,Newton / Country Club Mobile Home Estates
42147,en,Mukteshwar Kumaon
NV4G7,en,Pools Island
25705,en,Ust’-Srednekan / Srednikan / Ust'-Srednekan
86654,en,Lencois / Lençóis
40765,en,Ghasre-Shirin
02799,en,Kuhmo Kalliojoki / Alanne
37196,en,Zemo-Azhara / Nakhari
D4488,en,Schmallenberg-Sellinghausen
95142,en,Maningrida Airport
67586,en,Lilongwe International Airport
D5297,en,Waldeck-Alraft
95669,en,Cheetham Salt Works / Price
40061,en,Palmyra
71244,en,Milk River
31168,en,Ajan
FYLZ0,en,Luderitz / Kolmanskop
62790,en,Nyala
D2928,en,Leipzig-Holzhausen
16754,en,Heraklion Airport
KC620,en,Kendallville / Wakeville Village
71844,en,"Big Trout Lake Remote Environment Automatic Data Acquisition Concept, Ontario"
KVEMH,en,Horb-altheim
57131,en,Liangcun / Jinghe
KHLC0,en,Hill City
IZ20B,en,Zeballos Muraude Creek
C5G6L,en,Upsalquitch Lake
82326,en,Codajas
11126,en,Patscherkofel
94356,en,Charters Towers
07090,en,Metz / Frescaty
D6105,en,Ostenfeld (Rendsburg)
SI3WP,en,Masset Airport
43309,en,Maya Bandar
PAPO0,en,Point Hope
72533,en,Fort Wayne International
41265,en,Ibra / Mu?ayb
06612,en,La Chaux-De-Fonds
71144,en,Oakpoint Marine
