Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type
Germany,2018,SPO.DE_DEBW156_CO_dataGroup1,DEBW156,8.3906,48.2291,458.0,Urban,Traffic
Germany,2014,SPO.DE_DEBW019_CO_dataGroup1,DEBW019,9.979,48.3968,481.0,Urban,Background
Germany,2015,SPO.DE_DEBW147_CO_dataGroup1,DEBW147,9.2108,48.4893,382.0,Urban,Traffic
Germany,2018,SPO.DE_DEBY006_CO_dataGroup1,DEBY006,10.895,48.3646,492.0,Urban,Traffic
Germany,2017,SPO.DE_DEBW125_CO_dataGroup1,DEBW125,8.5263,49.0037,135.0,Suburban,Traffic
Germany,2014,SPO.DE_DEBW029_CO_dataGroup1,DEBW029,10.0963,48.8479,424.0,Suburban,Background
Germany,2015,SPO.DE_DEBY037_CO_dataGroup1,DEBY037,11.5649,48.1373,521.0,Urban,Traffic
Germany,2020,SPO.DE_DEBY021_CO_dataGroup1,DEBY021,11.4288,48.7694,374.0,Urban,Traffic
Germany,2015,SPO.DE_DEBY014_CO_dataGroup1,DEBY014,10.9593,50.2606,291.0,Urban,Traffic
Germany,2018,SPO.DE_DEBY028_CO_dataGroup1,DEBY028,11.8792,48.9095,348.0,Urban,Traffic
Germany,2020,SPO.DE_DEBY035_CO_dataGroup1,DEBY035,9.6889,47.5575,411.0,Urban,Traffic
Germany,2017,SPO.DE_DEBY001_CO_dataGroup1,DEBY001,10.5723,49.3049,400.0,Urban,Traffic
Germany,2016,SPO.DE_DEBW122_CO_dataGroup1,DEBW122,7.8599,47.9882,289.0,Urban,Traffic
Germany,2023,SPO.DE_DEBW080_CO_dataGroup1,DEBW080,8.3872,49.008,119.0,Urban,Traffic
Germany,2022,SPO.DE_DEHB006_CO_dataGroup1,DEHB006,8.8252,53.0787,5.0,Urban,Traffic
Germany,2020,SPO.DE_DEBY099_CO_dataGroup1,DEBY099,10.9031,48.326,495.0,Suburban,Background
Germany,2014,SPO.DE_DEBY115_CO_dataGroup1,DEBY115,11.5365,48.1496,521.0,Urban,Traffic
Germany,2016,SPO.DE_DEBW099_CO_dataGroup1,DEBW099,9.1807,48.7831,244.0,Urban,Traffic
Germany,2022,SPO.DE_DEBY063_CO_dataGroup1,DEBY063,12.1016,49.0152,337.0,Urban,Traffic
Germany,2023,SPO.DE_DEBY110_CO_dataGroup1,DEBY110,10.8962,48.3702,485.0,Urban,Traffic
Germany,2017,SPO.DE_DEBY088_CO_dataGroup1,DEBY088,12.5382,48.0217,488.0,Suburban,Background
Germany,2020,SPO.DE_DEBW152_CO_dataGroup1,DEBW152,9.2259,49.146,165.0,Urban,Traffic
Germany,2018,SPO.DE_DEBY119_CO_dataGroup1,DEBY119,9.9477,49.7905,198.0,Urban,Traffic
Germany,2020,SPO.DE_DEHB001_CO_dataGroup1,DEHB001,8.8158,53.0772,10.0,Urban,Background
Germany,2015,SPO.DE_DEBY120_CO_dataGroup1,DEBY120,11.0361,49.4405,308.0,Urban,Traffic
Germany,2016,SPO.DE_DEHE001_CO_dataGroup1,DEHE001,8.6646,49.8723,153.0,Urban,Background
