Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type
Germany,2017,SPO.DE_DEBE066_NOx_dataGroup1,DEBE066,13.5295,52.4853,35.0,Urban,Background
Germany,2018,SPO.DE_DEBY001_NOx_dataGroup1,DEBY001,10.5723,49.3049,400.0,Urban,Traffic
Germany,2020,SPO.DE_DEBE067_NOx_dataGroup1,DEBE067,13.333,52.5066,35.0,Urban,Traffic
Germany,2021,SPO.DE_DEBE125_NOx_dataGroup1,DEBE125,13.3824,52.5098,40.0,Urban,Traffic
Germany,2017,SPO.DE_DEBY005_NOx_dataGroup1,DEBY005,9.118,49.9915,134.0,Suburban,Background
Germany,2013,SPO.DE_DEBE068_NOx_dataGroup1,DEBE068,13.4188,52.5136,35.0,Urban,Background
Germany,2015,SPO.DE_DEBY012_NOx_dataGroup1,DEBY012,12.8293,48.1772,420.0,Suburban,Background
Germany,2015,SPO.DE_DEBY009_NOx_dataGroup1,DEBY009,10.8877,49.8983,231.0,Urban,Background
Germany,2016,SPO.DE_DEBY013_NOx_dataGroup1,DEBY013,12.7814,48.1828,415.0,Rural,Background
Germany,2019,SPO.DE_DEBY032_NOx_dataGroup1,DEBY032,11.4426,50.1031,303.0,Urban,Background
Germany,2013,SPO.DE_DEBY030_NOx_dataGroup1,DEBY030,11.9488,48.9042,340.0,Suburban,Background
Germany,2022,SPO.DE_DEBY053_NOx_dataGroup1,DEBY053,11.0884,49.4459,307.0,Urban,Traffic
Germany,2017,SPO.DE_DEBY035_NOx_dataGroup1,DEBY035,9.6889,47.5575,411.0,Urban,Traffic
Germany,2017,SPO.DE_DEBY031_NOx_dataGroup1,DEBY031,10.3066,47.7251,678.0,Suburban,Background
Germany,2023,SPO.DE_DEBY039_NOx_dataGroup1,DEBY039,11.5547,48.1545,521.0,Urban,Background
Germany,2019,SPO.DE_DEBY037_NOx_dataGroup1,DEBY037,11.5649,48.1373,521.0,Urban,Traffic
Germany,2017,SPO.DE_DEBY020_NOx_dataGroup1,DEBY020,11.8975,50.3206,525.0,Suburban,Background
Germany,2022,SPO.DE_DEBY063_NOx_dataGroup1,DEBY063,12.1016,49.0152,337.0,Urban,Traffic
Germany,2014,SPO.DE_DEBY033_NOx_dataGroup1,DEBY033,12.1571,48.5398,390.0,Urban,Traffic
Germany,2015,SPO.DE_DEBY052_NOx_dataGroup1,DEBY052,10.0083,48.3971,470.0,Urban,Background
Germany,2017,SPO.DE_DEBY124_NOx_dataGroup1,DEBY124,10.325,49.4441,362.0,Rural,Background
Germany,2015,SPO.DE_DEBY088_NOx_dataGroup1,DEBY088,12.5382,48.0217,488.0,Suburban,Background
Germany,2021,SPO.DE_DEHB001_NOx_dataGroup1,DEHB001,8.8158,53.0772,10.0,Urban,Background
Germany,2017,SPO.DE_DEBY058_NOx_dataGroup1,DEBY058,11.0248,49.4622,300.0,Urban,Background
Germany,2013,SPO.DE_DEHB013_NOx_dataGroup1,DEHB013,8.6951,53.1177,4.0,Rural,Industrial
Germany,2023,SPO.DE_DEBY119_NOx_dataGroup1,DEBY119,9.9477,49.7905,198.0,Urban,Traffic
Germany,2017,SPO.DE_DEBY188_NOx_dataGroup1,DEBY188,11.0279,49.3227,344.0,Urban,Background
Germany,2016,SPO.DE_DEBY111_NOx_dataGroup1,DEBY111,11.5701,49.9436,337.0,Urban,Traffic
Germany,2015,SPO.DE_DEBY028_NOx_dataGroup1,DEBY028,11.8792,48.9095,348.0,Urban,Traffic
Germany,2022,SPO.DE_DEHE008_NOx_dataGroup1,DEHE008,8.7463,50.1253,103.0,Urban,Background
Germany,2023,SPO.DE_DEBY115_NOx_dataGroup1,DEBY115,11.5365,48.1496,521.0,Urban,Traffic
Germany,2020,SPO.DE_DEHE011_NOx_dataGroup1,DEHE011,8.9216,50.1358,105.0,Urban,Background
