Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type
Germany,2022,SPO.DE_DEBW118_PM2_dataGroup2,DEBW118,9.191,48.7881,239.0,Urban,Traffic
Germany,2016,SPO.DE_DEBW152_PM2_dataGroup2,DEBW152,9.2259,49.146,165.0,Urban,Traffic
Germany,2017,SPO.DE_DEBW005_PM2_dataGroup2,DEBW005,8.4653,49.5441,94.0,Suburban,Industrial
Germany,2021,SPO.DE_DEBW147_PM2_dataGroup2,DEBW147,9.2108,48.4893,382.0,Urban,Traffic
Germany,2017,SPO.DE_DEBY002_PM2_dataGroup1,DEBY002,12.1887,50.0582,480.0,Suburban,Background
Germany,2023,SPO.DE_DEBW073_PM2_dataGroup1,DEBW073,7.568,47.819,223.0,Suburban,Background
Germany,2019,SPO.DE_DEBW080_PM2_dataGroup2,DEBW080,8.3872,49.008,119.0,Urban,Traffic
Germany,2018,SPO.DE_DEBY012_PM2_dataGroup1,DEBY012,12.8293,48.1772,420.0,Suburban,Background
Germany,2021,SPO.DE_DEBW024_PM2_dataGroup1,DEBW024,9.1728,48.8992,302.0,Suburban,Background
Germany,2014,SPO.DE_DEBW087_PM2_dataGroup2,DEBW087,9.2076,48.3458,798.0,Rural,Background
Germany,2024,SPO.DE_DEBE126_PM2_dataGroup1,DEBE126,13.4297,52.4838,40.0,Urban,Traffic
Germany,2020,SPO.DE_DEBW015_PM2_dataGroup2,DEBW015,9.2248,49.1655,157.0,Urban,Background
Germany,2019,SPO.DE_DEBW033_PM2_dataGroup2,DEBW033,8.6655,48.889,278.0,Urban,Background
Germany,2021,SPO.DE_DEBY014_PM2_dataGroup1,DEBY014,10.9593,50.2606,291.0,Urban,Traffic
Germany,2024,SPO.DE_DEBW027_PM2_dataGroup2,DEBW027,9.2073,48.4889,385.0,Urban,Background
Germany,2024,SPO.DE_DEBY052_PM2_dataGroup1,DEBY052,10.0083,48.3971,470.0,Urban,Background
Germany,2019,SPO.DE_DEBW023_PM2_dataGroup2,DEBW023,7.6333,47.5882,275.0,Suburban,Background
