Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Estonia,2021,SPO-EE0021A_00007_100,EE0021A,26.7347,58.3706,41.0,Urban,Background,STA-EE0021A
Estonia,2010,SPO-EE0022A_00007_100,EE0022A,28.1792,59.3762,25.0,urban,Background,STA-EE0022A
Estonia,2017,SPO-EE0018A_00007_100,EE0018A,24.6495,59.4142,6.0,Urban,Background,STA-EE0018A
Estonia,2002,SPO-EE0015A_00007_100,EE0015A,24.6986,59.4569,9.0,urban,Industrial,STA-EE0015A
Estonia,2013,SPO-EE0016A_00007_100,EE0016A,26.7589,58.7028,50.0,Rural,Background,STA-EE0016A
Estonia,2020,SPO-EE0019A_00007_100,EE0019A,27.2786,59.4097,60.0,Urban,Industrial,STA-EE0019A
Estonia,2020,SPO-EE0009R_00007_500,EE0009R,25.9306,59.4944,32.0,Rural,Background,STA-EE0009R
Estonia,2020,SPO-EE0020A_00007_100,EE0020A,24.7606,59.4311,5.0,Urban,Traffic,STA-EE0020A
Estonia,2014,SPO-EE0011R_00007_500,EE0011R,21.845,58.3761,6.0,Rural,Background,STA-EE0011R
France,2024,SPO-FR33220_7,FR33220,6.7136,45.9236,588.0,Suburban,Background,STA-FR33220
France,2025,SPO-FR18053_7,FR18053,2.3046,49.9017,26.0,Urban,Background,STA-FR18053
France,2025,SPO-FR23152_7,FR23152,-1.4368,46.6607,50.0,Urban,Background,STA-FR23152
France,2024,SPO-FR23150_7,FR23150,-0.5501,47.4474,30.0,Urban,Background,STA-FR23150
France,2024,SPO-FR03071_7,FR03071,5.9242,43.1311,26.0,Urban,Background,STA-FR03071
France,2025,SPO-FR23124_7,FR23124,-0.7437,46.6567,100.0,Rural,Background,STA-FR23124
France,2024,SPO-FR06011_7,FR06011,3.3959,50.3228,31.0,Suburban,Background,STA-FR06011
France,2024,SPO-FR28033_7,FR28033,2.6664,50.4897,23.0,Suburban,Background,STA-FR28033
France,2025,SPO-FR15013_7,FR15013,5.7287,45.0795,267.0,Suburban,Background,STA-FR15013
France,2024,SPO-FR20077_7,FR20077,4.7156,45.9901,184.0,Urban,Background,STA-FR20077
France,2025,SPO-FR08614_7,FR08614,4.3744,43.8344,42.0,Urban,Background,STA-FR08614
France,2025,SPO-FR01011_7,FR01011,6.1808,49.1194,192.0,Urban,Background,STA-FR01011
France,2024,SPO-FR33212_7,FR33212,6.2149,46.1937,426.0,Urban,Background,STA-FR33212
France,2025,SPO-FR30037_7,FR30037,6.136,48.6569,360.0,Suburban,Background,STA-FR30037
France,2025,SPO-FR23123_7,FR23123,-0.7677,48.0694,51.0,Urban,Background,STA-FR23123
France,2024,SPO-FR20048_7,FR20048,5.0722,45.7533,217.0,Suburban,Background,STA-FR20048
France,2025,SPO-FR04037_7,FR04037,2.3603,48.8286,57.0,Urban,Background,STA-FR04037
France,2025,SPO-FR20046_7,FR20046,4.9247,45.7789,172.0,Urban,Background,STA-FR20046
France,2025,SPO-FR23078_7,FR23078,-0.8861,47.0544,100.0,Urban,Background,STA-FR23078
France,2025,SPO-FR20047_7,FR20047,4.954,45.8232,180.0,Suburban,Background,STA-FR20047
France,2024,SPO-FR25039_7,FR25039,1.1483,49.0213,65.0,Urban,Background,STA-FR25039
France,2025,SPO-FR30034_7,FR30034,6.1904,48.6882,200.0,Urban,Background,STA-FR30034
France,2024,SPO-FR15018_7,FR15018,5.5894,45.3602,286.0,Urban,Background,STA-FR15018
France,2024,SPO-FR19033_7,FR19033,-2.764,47.6489,20.0,Urban,Background,STA-FR19033
France,2024,SPO-FR07004_7,FR07004,3.1138,45.7973,340.0,Urban,Background,STA-FR07004
France,2024,SPO-FR20037_7,FR20037,4.8022,45.6019,235.0,Suburban,Background,STA-FR20037
France,2025,SPO-FR28022_7,FR28022,2.8074,50.3089,90.0,Suburban,Background,STA-FR28022
France,2025,SPO-FR04100_7,FR04100,2.5072,48.8819,85.0,Urban,Background,STA-FR04100
France,2024,SPO-FR18043_7,FR18043,2.4744,49.2596,34.0,Urban,Background,STA-FR18043
France,2024,SPO-FR34029_7,FR34029,1.9447,47.8378,109.0,Urban,Background,STA-FR34029
