Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type
Albania,2014,SPO-AL0203A_00001_100,AL0203A,20.7802,40.6259,848.0,Suburban,Background
Albania,2014,SPO-AL0204A_00001_100,AL0204A,19.4862,40.4031,25.0,Urban,Background
Albania,2020,SPO-AL0205A_00001_100,AL0205A,19.4492,41.3199,1.0,Urban,Traffic
Albania,2015,SPO-AL0206A_00001_100,AL0206A,19.5234,42.3139,13.0,Urban,Background
Albania,2020,SPO-AL0207A_00001_100,AL0207A,20.0817,41.111,150.0,Urban,Traffic
Albania,2022,SPO-AL0208A_00001_100,AL0208A,19.5552,40.7258,64.0,Urban,Traffic
Andorra,2015,SPO-AD0942A-0001,AD0942A,1.5391,42.5097,1080.0,Urban,Background
Austria,2005,SPO.04.S406.2006.1.1,AT4S406,14.0366,48.1649,316.0,urban,Background
Austria,1996,SPO.04.S125.1717.1.1,AT4S125,13.6322,47.7161,460.0,suburban,Background
Austria,2005,SPO.04.S409.1743.1.1,AT4S409,14.4428,48.0494,305.0,suburban,Background
Austria,2008,SPO.04.S173.56395.1.1,AT4S173,14.3665,48.2797,250.0,suburban,Industrial
Austria,1996,SPO.04.S416.508.1.1,AT4S416,14.3148,48.2733,265.0,urban,Background
Austria,2005,SPO-AT4S417_00001_100,AT4S417,14.3528,48.2903,335.0,suburban,Industrial
Austria,1990,SPO-AT4S412_00001_100,AT4S412,14.3106,48.2542,258.0,suburban,Background
Austria,1994,SPO.04.S415.1998.1.1,AT4S415,14.2978,48.3233,255.0,urban,Traffic
Austria,1993,SPO-AT4S405_00001_100,AT4S405,14.4167,48.2233,255.0,suburban,Traffic
Austria,2005,SPO.04.S404.1753.1.1,AT4S404,14.2376,48.2253,274.0,suburban,Background
Austria,2006,SPO-AT51000_00001_500,AT51000,13.0536,47.7975,425.0,urban,Traffic
Austria,1990,SPO.04.S407.2004.1.1,AT4S407,13.6675,48.0008,420.0,suburban,Background
Austria,1992,SPO.04.S418.1266.1.1,AT4S418,13.6008,47.9719,510.0,rural,Industrial
Austria,2009,SPO.05.1200.1762.1.1,AT51200,13.0349,47.8156,420.0,urban,Background
Austria,1999,SPO.05.2000.1365.1.1,AT52000,13.1,47.6831,440.0,urban,Traffic
Austria,2001,SPO-AT51066_00001_500,AT51066,13.0433,47.8056,430.0,urban,Traffic
Austria,2005,SPO-AT53055_00001_100,AT53055,13.0158,47.9367,730.0,rural,Background
Austria,2001,SPO-AT52015_00001_100,AT52015,13.1139,47.6728,440.0,suburban,Industrial
Austria,2003,SPO.05.5032.1380.1.1,AT55032,13.8083,47.1258,1025.0,suburban,Background
Austria,2001,SPO.06.107.3800.1.1,AT60107,15.1528,47.0447,390.0,suburban,Background
Austria,2003,SPO-AT60104_00001_100,AT60104,15.1656,47.0389,380.0,suburban,Background
Austria,1999,SPO.06.106.1883.1.1,AT60106,15.0867,47.0633,445.0,urban,Background
Austria,1991,SPO-AT60115_00001_500,AT60115,14.83,47.2181,635.0,urban,Background
Austria,1999,SPO-AT60127_00001_100,AT60127,14.6017,47.2189,795.0,rural,Background
Austria,1997,SPO.06.135.1455.1.1,AT60135,15.3392,47.1131,454.0,rural,Industrial
Austria,2004,SPO.06.136.1415.1.1,AT60136,15.3511,47.1203,375.0,rural,Industrial
Austria,1995,SPO-AT60141_00001_100,AT60141,15.1036,47.3589,554.0,urban,Background
Austria,1997,SPO-AT60139_00001_100,AT60139,15.4044,47.0694,370.0,suburban,Background
Austria,2002,SPO.06.119.4942.1.1,AT60119,14.8253,47.2104,635.0,urban,Background
Austria,2005,SPO.06.142.1395.1.1,AT60142,15.0745,47.3756,555.0,urban,Industrial
Austria,2008,SPO-AT60137_00001_100,AT60137,15.0167,47.0592,900.0,rural,Background
Austria,1999,SPO.04.S156.3945.1.1,AT4S156,13.0392,48.2575,350.0,suburban,Background
Austria,2008,SPO.06.143.1804.1.1,AT60143,15.0889,47.3823,543.0,urban,Background
Austria,1997,SPO-AT60114_00001_100,AT60114,14.7533,47.1925,675.0,suburban,Background
Austria,2010,SPO.06.156.1813.1.1,AT60156,15.8822,47.3481,1180.0,rural,Background
Austria,2012,SPO.06.138.270.1.1,AT60138,15.4151,47.0944,355.0,suburban,Background
Austria,2004,SPO-AT60150_00001_100,AT60150,15.3608,47.4056,1610.0,rural,Background
Austria,2006,SPO.06.151.1385.1.1,AT60151,15.4958,46.8714,449.0,rural,Background
Austria,2010,SPO.06.164.4065.1.1,AT60164,15.4166,47.0556,358.0,urban,Traffic
Austria,2008,SPO-AT60157_00001_100,AT60157,13.7967,47.6306,980.0,rural,Background
Austria,1994,SPO-AT60160_00001_500,AT60160,15.4386,47.0697,355.0,urban,Background
Austria,1993,SPO-AT60145_00001_100,AT60145,15.2903,47.4458,517.0,urban,Background
Austria,1999,SPO.06.190.539.1.1,AT60190,15.3678,46.6519,785.0,rural,Background
Austria,2001,SPO-AT60183_00001_100,AT60183,15.3458,47.2064,410.0,rural,Industrial
Austria,2012,SPO.06.182.3743.1.1,AT60182,14.2436,47.5672,665.0,suburban,Background
Austria,1997,SPO-AT60181_00001_100,AT60181,15.6283,47.2172,468.0,suburban,Traffic
Austria,2000,SPO.06.185.2420.1.1,AT60185,15.9561,46.7675,415.0,rural,Background
Austria,2004,SPO.06.170.5937.1.1,AT60170,15.4331,47.0417,345.0,urban,Background
Austria,2005,SPO-AT60188_00001_100,AT60188,15.975,47.2786,330.0,suburban,Background
Austria,2010,SPO.06.191.4070.1.1,AT60191,15.3232,47.1357,382.0,rural,Industrial
Austria,2010,SPO.06.180.57372.1.1,AT60180,15.2533,47.4094,485.0,suburban,Background
Austria,2003,SPO.06.193.5104.1.1,AT60193,15.1469,47.3961,510.0,suburban,Industrial
Austria,2002,SPO.07.2519.1032.1.1,AT72519,11.8718,47.4286,519.0,rural,Industrial
Austria,2009,SPO.07.2110.173.1.1,AT72110,11.3924,47.2626,577.0,urban,Traffic
Austria,2001,SPO-AT80503_00001_100,AT80503,9.9267,47.5292,1020.0,rural,Background
Austria,2009,SPO.06.198.56326.1.1,AT60198,16.0791,47.0473,276.0,suburban,Background
Austria,2010,SPO.06.179.63907.1.1,AT60179,15.9719,47.2829,349.0,suburban,Background
Austria,2004,SPO-AT72552_00001_100,AT72552,12.1724,47.5818,489.0,urban,Traffic
Austria,2010,SPO-AT60195_00001_100,AT60195,15.2128,46.8139,365.0,suburban,Background
Austria,1999,SPO.09.JAEG.817.1.1,AT9JAEG,16.2972,48.2702,488.0,suburban,Background
Austria,2001,SPO-AT90FLO_00001_100,AT90FLO,16.397,48.2611,164.0,urban,Traffic
Austria,1994,SPO-AT31403_00001_100,AT31403,16.2833,48.1108,288.0,suburban,Background
Austria,1998,SPO-AT82707_00001_100,AT82707,9.8197,47.1569,580.0,urban,Background
Austria,1994,SPO-AT30992_00001_100,AT30992,16.2122,48.3889,170.0,suburban,Background
Austria,2001,SPO-AT32792_00001_100,AT32792,16.5236,48.1456,155.0,suburban,Industrial
Austria,2010,SPO-AT4S199_00001_100,AT4S199,14.3617,47.9439,340.0,rural,Background
Austria,1993,SPO-AT4S403_00001_500,AT4S403,14.2808,48.3156,269.0,urban,Traffic
Austria,1992,SPO.03.0202.1638.1.1,AT30202,15.9194,48.1061,581.0,rural,Background
Austria,2003,SPO.03.0302.1683.1.1,AT30302,16.6753,48.0503,235.0,rural,Background
Austria,1996,SPO.03.1502.1675.1.1,AT31502,15.8603,47.6703,890.0,rural,Background
Austria,2009,SPO.01.0003.17.1.1,AT10003,17.0703,48.1092,136.0,suburban,Background
Austria,1994,SPO.03.1701.1636.1.1,AT31701,15.5458,48.3703,320.0,rural,Background
Austria,1994,SPO-AT52100_00001_100,AT52100,13.106,47.667,650.0,rural,Industrial
Austria,1997,SPO-AT2KA21_00001_500,AT2KA21,14.3181,46.6256,445.0,urban,Traffic
Austria,2003,SPO-AT30406_00001_100,AT30406,16.5506,48.195,155.0,rural,Background
Austria,1996,SPO.03.0801.1652.1.1,AT30801,15.4984,48.7242,556.0,rural,Background
Austria,2008,SPO-AT4S420_00001_100,AT4S420,13.9522,48.7125,920.0,rural,Background
Austria,2002,SPO-AT2VK26_00001_100,AT2VK26,14.795,46.5856,480.0,rural,Background
Austria,2001,SPO-AT60189_00001_100,AT60189,13.6394,47.3603,1852.0,rural,Background
Austria,2005,SPO.03.1703.1335.1.1,AT31703,15.7469,48.3533,190.0,rural,Background
Austria,1993,SPO-AT60140_00001_100,AT60140,15.4347,47.0431,345.0,suburban,Background
Austria,1999,SPO-AT2VL12_00001_100,AT2VL12,13.8111,46.5639,515.0,rural,Industrial
Austria,1999,SPO-AT60105_00001_100,AT60105,15.0789,47.0817,585.0,rural,Background
Austria,2005,SPO-AT31402_00001_100,AT31402,16.3315,48.1247,194.0,suburban,Traffic
Austria,2008,SPO-AT2AUT1_00001_100,AT2AUT1,13.6039,47.0269,1160.0,rural,Traffic
Austria,2003,SPO-AT2WO25_00001_100,AT2WO25,14.8222,46.7639,430.0,urban,Industrial
Austria,1998,SPO.02.WO35.1609.1.1,AT2WO35,14.8917,46.7083,540.0,rural,Background
Austria,1997,SPO-AT2SP18_00001_100,AT2SP18,13.4939,46.8014,560.0,suburban,Background
Austria,2000,SPO-AT2VI12_00001_500,AT2VI12,13.8414,46.6125,490.0,urban,Traffic
Austria,2002,SPO-AT60186_00001_100,AT60186,14.6389,47.2236,935.0,rural,Industrial
Austria,2003,SPO.03.0301.1646.1.1,AT30301,16.9579,48.1442,180.0,suburban,Background
Austria,1992,SPO.03.1902.1350.1.1,AT31902,15.9071,48.3451,200.0,rural,Background
Austria,2000,SPO.03.1401.1665.1.1,AT31401,16.3022,48.0861,215.0,suburban,Background
Austria,2005,SPO.03.0502.1648.1.1,AT30502,15.0467,48.8786,570.0,rural,Background
Austria,1996,SPO-AT30403_00001_100,AT30403,16.522,48.3929,260.0,rural,Background
Austria,2003,SPO.02.F202.2704.1.1,AT2F202,14.53,46.8428,810.0,rural,Industrial
Austria,1996,SPO-AT52055_00001_100,AT52055,13.2328,47.6503,1005.0,rural,Background
Austria,2002,SPO-AT55018_00001_100,AT55018,13.5051,47.1541,1205.0,rural,Traffic
Austria,2004,SPO.02.M121.3671.1.1,AT2M121,13.7035,46.5584,574.0,rural,Industrial
Austria,1993,SPO-AT30903_00001_100,AT30903,16.3614,48.3031,160.0,rural,Background
Austria,1997,SPO.03.0401.1640.1.1,AT30401,16.7294,48.3347,161.0,suburban,Background
Austria,2003,SPO-AT2F101_00001_100,AT2F101,15.0461,46.6756,1080.0,rural,Background
Austria,1997,SPO-AT2HE19_00001_100,AT2HE19,13.3731,46.6247,600.0,rural,Traffic
Austria,1997,SPO.03.0601.1654.1.1,AT30601,16.3139,48.3025,260.0,suburban,Background
Austria,1997,SPO-AT30402_00001_100,AT30402,16.5592,48.2983,160.0,rural,Background
Austria,1990,SPO-AT30101_00001_500,AT30101,14.8783,48.1203,270.0,suburban,Background
Austria,1997,SPO-AT30602_00001_100,AT30602,16.6272,48.1094,179.0,rural,Background
Austria,1998,SPO-AT4S414_00001_100,AT4S414,14.3014,48.2975,263.0,urban,Background
Austria,1991,SPO.03.1301.1664.1.1,AT31301,16.5788,48.5783,250.0,suburban,Background
Austria,1996,SPO-AT2SP10_00001_100,AT2SP10,13.1945,46.935,686.0,rural,Background
Austria,1999,SPO.02.WO15.189.1.1,AT2WO15,14.8436,46.835,460.0,urban,Traffic
Austria,2007,SPO-AT2VL22_00001_100,AT2VL22,13.7089,46.5572,580.0,rural,Industrial
