id,country,region,latitude,longitude,elevation,timezone
71886,CA,BC,49.4667,-120.5167,700,America/Vancouver
D0979,DE,HE,50.7364,8.2672,314,Europe/Berlin
94839,AU,VIC,-36.3,143.3,132,Australia/Melbourne
82281,BR,MA,-2.6,-44.2333,53,America/Belem
E7R70,CA,ON,46.1,-79.52,213,America/Nipigon
84248,EC,O,-3.25,-79.9667,4,Pacific/Galapagos
42099,IN,PB,30.8667,75.9333,255,Asia/Kolkata
67067,MG,A,-17.6333,48.5,780,Indian/Antananarivo
D7075,DE,BY,48.702,11.8493,425,Europe/Berlin
45005,HK,BL,22.3,114.1667,32,Asia/Hong_Kong
76342,MX,COA,26.8833,-101.4167,615,America/Monterrey
36G8S,CA,SK,55.84,-108.42,434,America/Regina
60405,DZ,GUE,36.5,7.7167,0,Africa/Algiers
16320,IT,PU,40.65,17.95,15,Europe/Rome
43227,IN,KA,14.7833,75.4,573,Asia/Kolkata
71851,CA,MB,49.9,-98.28,273,America/Winnipeg
78701,HN,IB,16.4667,-86.0667,2,America/Tegucigalpa
42837,IN,GJ,21.0833,71.7833,8,Asia/Kolkata
KSSF0,US,TX,29.337,-98.471,176,America/Chicago
71674,CA,AB,52.55,-112.12,721,America/Edmonton
81774,BR,PB,-6.8356,-38.3114,234,America/Fortaleza
93781,NZ,CAN,-43.4833,172.5167,37,Pacific/Auckland
UWKS0,RU,CU,56.0833,47.35,170,Europe/Moscow
48475,TH,PK,12.5833,99.95,5,Asia/Bangkok
KS320,US,ND,47.4228,-98.1059,434,America/Chicago
31977,RU,PRI,43.2667,132.05,82,Asia/Vladivostok
80476,VE,V,10.5167,-71.65,26,America/Caracas
71987,CA,PE,47.06,-64.0,8,America/Halifax
64659,CF,HMB,5.4,26.5,650,Asia/Colombo
D0071,DE,BW,48.2156,8.9784,759,Europe/Berlin
48402,TH,CN,15.1581,100.1914,15,Asia/Bangkok
72782,US,WA,47.4,-120.2,379,America/Los_Angeles
34122,RU,VOR,51.65,39.25,154,Europe/Moscow
