Month,AirQualityStation,average_no2,index
2018-01,STA-AL0203A,,3
2018-02,STA-AL0203A,,3
2018-03,STA-AL0203A,,3
2018-04,STA-AL0203A,,3
2018-05,STA-AL0203A,,3
2018-06,STA-AL0203A,,3
2018-07,STA-AL0203A,,3
2018-08,STA-AL0203A,,3
2018-09,STA-AL0203A,,3
2018-10,STA-AL0203A,55.42250134393531,3
2018-11,STA-AL0203A,41.85953888488889,3
2018-12,STA-AL0203A,38.75054494751037,3
2018-01,STA-AL0206A,,5
2018-02,STA-AL0206A,,5
2018-03,STA-AL0206A,,5
2018-04,STA-AL0206A,,5
2018-05,STA-AL0206A,,5
2018-06,STA-AL0206A,,5
2018-07,STA-AL0206A,,5
2018-08,STA-AL0206A,,5
2018-09,STA-AL0206A,,5
2018-10,STA-AL0206A,66.95070658271457,5
2018-11,STA-AL0206A,42.93538823137255,5
2018-12,STA-AL0206A,38.554120116021025,5
2018-01,STA-AL0207A,,6
2018-02,STA-AL0207A,,6
2018-03,STA-AL0207A,,6
2018-04,STA-AL0207A,,6
2018-05,STA-AL0207A,,6
2018-06,STA-AL0207A,,6
2018-07,STA-AL0207A,,6
2018-08,STA-AL0207A,,6
2018-09,STA-AL0207A,,6
2018-10,STA-AL0207A,43.83977447652819,6
2018-11,STA-AL0207A,39.83645671264179,6
2018-12,STA-AL0207A,35.591216134682995,6
2018-01,STA.01.0001,32.7105368234136,7
2018-02,STA.01.0001,49.983824721737086,7
2018-03,STA.01.0001,63.245031201460996,7
2018-04,STA.01.0001,75.67893168231105,7
2018-05,STA.01.0001,81.02948100898735,7
2018-06,STA.01.0001,77.60789212443149,7
2018-07,STA.01.0001,88.71830520061886,7
2018-08,STA.01.0001,81.11443459528833,7
2018-09,STA.01.0001,62.723393581516035,7
2018-10,STA.01.0001,52.589332389999996,7
2018-11,STA.01.0001,24.456905519781976,7
2018-12,STA.01.0001,33.8096869648442,7
2018-01,STA.01.0002,22.591128201339032,8
2018-02,STA.01.0002,54.518808108143524,8
2018-03,STA.01.0002,64.52887869853315,8
2018-04,STA.01.0002,70.07149056229318,8
2018-05,STA.01.0002,73.2210212130693,8
2018-06,STA.01.0002,69.89088122797654,8
2018-07,STA.01.0002,77.76916994035112,8
2018-08,STA.01.0002,71.2879380246479,8
2018-09,STA.01.0002,57.84837354248547,8
2018-10,STA.01.0002,43.83532348458509,8
2018-11,STA.01.0002,28.2653075642351,8
2018-12,STA.01.0002,26.31270029316024,8
2018-01,STA.01.0003,29.14165928061329,9
2018-02,STA.01.0003,47.852151558296875,9
2018-03,STA.01.0003,60.02584809725739,9
2018-04,STA.01.0003,71.90603056365356,9
2018-05,STA.01.0003,77.11189780652555,9
2018-06,STA.01.0003,76.60414701244542,9
2018-07,STA.01.0003,81.81421892305084,9
2018-08,STA.01.0003,75.16627644190409,9
2018-09,STA.01.0003,64.69914948786648,9
2018-10,STA.01.0003,53.78873379878873,9
2018-11,STA.01.0003,29.194687381992686,9
2018-12,STA.01.0003,42.07722707660084,9
2018-01,STA.02.F202,44.85156840170663,12
2018-02,STA.02.F202,53.60424610185359,12
2018-03,STA.02.F202,63.265366568651686,12
2018-04,STA.02.F202,70.84767053300436,12
2018-05,STA.02.F202,56.34026965867978,12
2018-06,STA.02.F202,56.63210267431548,12
2018-07,STA.02.F202,65.84904634449438,12
2018-08,STA.02.F202,57.38245786155899,12
2018-09,STA.02.F202,40.66810289443478,12
2018-10,STA.02.F202,32.87571769272472,12
2018-11,STA.02.F202,23.466649196011645,12
2018-12,STA.02.F202,29.99820112943343,12
2018-01,STA.02.KA71,10.909115165561799,14
2018-02,STA.02.KA71,33.44364162355242,14
2018-03,STA.02.KA71,48.87578339939522,14
2018-04,STA.02.KA71,67.29883599046444,14
2018-05,STA.02.KA71,60.89042977127809,14
2018-06,STA.02.KA71,65.8856618250508,14
2018-07,STA.02.KA71,72.06694100723315,14
2018-08,STA.02.KA71,68.8172598276545,14
2018-09,STA.02.KA71,41.8619679259621,14
2018-10,STA.02.KA71,20.84317951943899,14
2018-11,STA.02.KA71,11.684693545043988,14
2018-12,STA.02.KA71,6.646873591966292,14
2018-01,STA.02.SP10,28.489779180731365,16
2018-02,STA.02.SP10,47.307992158918495,16
2018-03,STA.02.SP10,50.72535533293539,16
2018-04,STA.02.SP10,65.82120754312047,16
2018-05,STA.02.SP10,50.3790857909564,16
2018-06,STA.02.SP10,67.00670972007256,16
2018-07,STA.02.SP10,68.58251762665726,16
2018-08,STA.02.SP10,59.277351613445845,16
2018-09,STA.02.SP10,37.61859419894203,16
2018-10,STA.02.SP10,32.99362078279494,16
2018-11,STA.02.SP10,12.285031973793604,16
2018-12,STA.02.SP10,27.349206457064607,16
2018-01,STA.02.SP18,13.133035357496464,17
2018-02,STA.02.SP18,35.16018651645768,17
2018-03,STA.02.SP18,40.27909039163842,17
2018-04,STA.02.SP18,56.17789488671533,17
2018-05,STA.02.SP18,47.002304528555236,17
2018-06,STA.02.SP18,55.76566133341569,17
2018-07,STA.02.SP18,59.83965960038136,17
2018-08,STA.02.SP18,53.675466756930696,17
2018-09,STA.02.SP18,33.89071532486132,17
2018-10,STA.02.SP18,17.85159745485876,17
2018-11,STA.02.SP18,8.293391238715328,17
2018-12,STA.02.SP18,10.57322002583921,17
2018-01,STA.02.WO15,10.119208742313116,19
2018-02,STA.02.WO15,30.043722045698757,19
2018-03,STA.02.WO15,39.89593398477528,19
2018-04,STA.02.WO15,55.664502903139535,19
2018-05,STA.02.WO15,47.86412902840113,19
2018-06,STA.02.WO15,49.86161482116279,19
2018-07,STA.02.WO15,55.946608142401686,19
2018-08,STA.02.WO15,51.29989783801439,19
2018-09,STA.02.WO15,34.29975181037736,19
2018-10,STA.02.WO15,23.025644159395217,19
2018-11,STA.02.WO15,13.982997097608695,19
2018-12,STA.02.WO15,9.715266850266854,19
2018-01,STA.02.WO35,25.203301962823037,20
2018-02,STA.02.WO35,52.243338529110765,20
2018-03,STA.02.WO35,69.3405232028692,20
2018-04,STA.02.WO35,80.42794048973876,20
2018-05,STA.02.WO35,69.5168609508427,20
2018-06,STA.02.WO35,66.9376681118116,20
2018-07,STA.02.WO35,76.81279493990169,20
2018-08,STA.02.WO35,70.98374578262641,20
2018-09,STA.02.WO35,53.099129355973844,20
2018-10,STA.02.WO35,36.69834039187853,20
2018-11,STA.02.WO35,25.7047602302924,20
2018-12,STA.02.WO35,19.182510545457102,20
2018-01,STA.03.0065,30.272389041053373,21
2018-02,STA.03.0065,41.338601558609376,21
2018-03,STA.03.0065,53.43064275295359,21
2018-04,STA.03.0065,64.07226559865022,21
2018-05,STA.03.0065,65.85861743620254,21
2018-06,STA.03.0065,64.11375435611919,21
2018-07,STA.03.0065,67.67963767733333,21
2018-08,STA.03.0065,66.25002915090379,21
2018-09,STA.03.0065,44.48254505434593,21
2018-10,STA.03.0065,43.975388793706756,21
2018-11,STA.03.0065,23.774021080783132,21
2018-12,STA.03.0065,32.2014880411955,21
2018-01,STA.03.0101,28.638216897943664,22
2018-02,STA.03.0101,36.91606896170846,22
2018-03,STA.03.0101,52.375275276896076,22
2018-04,STA.03.0101,63.541908025357664,22
2018-05,STA.03.0101,71.80274647539436,22
2018-06,STA.03.0101,65.90552331248705,22
2018-07,STA.03.0101,73.66519971527427,22
2018-08,STA.03.0101,67.07415587861765,22
2018-09,STA.03.0101,45.35817005449128,22
2018-10,STA.03.0101,36.27324156941011,22
2018-11,STA.03.0101,18.748204641393325,22
2018-12,STA.03.0101,26.3158126809587,22
2018-01,STA.03.0104,30.616644159549928,24
2018-02,STA.03.0104,37.1846765122084,24
2018-03,STA.03.0104,49.64727951745889,24
2018-04,STA.03.0104,62.407224486137025,24
2018-05,STA.03.0104,69.23617982099415,24
2018-06,STA.03.0104,66.00723039611199,24
2018-07,STA.03.0104,74.29413276478815,24
2018-08,STA.03.0104,65.87222644048633,24
2018-09,STA.03.0104,44.50373653219796,24
2018-10,STA.03.0104,36.121632390563384,24
2018-11,STA.03.0104,17.833127903459303,24
2018-12,STA.03.0104,26.477300558483144,24
2018-01,STA.03.0201,37.091314602808986,25
2018-02,STA.03.0201,52.28320217281494,25
2018-03,STA.03.0201,66.76481152915612,25
2018-04,STA.03.0201,79.42987644982558,25
2018-05,STA.03.0201,82.01708707495787,25
2018-06,STA.03.0201,82.09900728466472,25
2018-07,STA.03.0201,95.41782528049715,25
2018-08,STA.03.0201,88.89780477169944,25
2018-09,STA.03.0201,67.25803487969476,25
2018-10,STA.03.0201,52.84653229908707,25
2018-11,STA.03.0201,26.93178664416546,25
2018-12,STA.03.0201,37.00862306196906,25
2018-01,STA.03.0202,46.60161494684063,26
2018-02,STA.03.0202,54.3983494498752,26
2018-03,STA.03.0202,74.00648314186797,26
2018-04,STA.03.0202,90.46760614559297,26
2018-05,STA.03.0202,93.23437323629578,26
2018-06,STA.03.0202,84.94447180615727,26
2018-07,STA.03.0202,100.90197186772151,26
2018-08,STA.03.0202,95.36345006682139,26
2018-09,STA.03.0202,77.34144556920174,26
2018-10,STA.03.0202,62.62286981863905,26
2018-11,STA.03.0202,28.266777361966604,26
2018-12,STA.03.0202,44.89801404082865,26
2018-01,STA.03.0301,31.676240502517583,27
2018-02,STA.03.0301,47.02372005804043,27
2018-03,STA.03.0301,64.64352527679776,27
2018-04,STA.03.0301,79.3286574305102,27
2018-05,STA.03.0301,83.25193229541608,27
2018-06,STA.03.0301,79.08996933932846,27
2018-07,STA.03.0301,85.23069511841463,27
2018-08,STA.03.0301,87.63352949455752,27
2018-09,STA.03.0301,67.62827034494187,27
2018-10,STA.03.0301,55.47494766239038,27
2018-11,STA.03.0301,26.047882434658924,27
2018-12,STA.03.0301,30.062239096216597,27
2018-01,STA.03.0302,36.83971689767606,28
2018-02,STA.03.0302,51.26655209530327,28
2018-03,STA.03.0302,68.3425070183146,28
2018-04,STA.03.0302,80.59690670169097,28
2018-05,STA.03.0302,82.011608998045,28
2018-06,STA.03.0302,79.2951293567878,28
2018-07,STA.03.0302,89.74341068554149,28
2018-08,STA.03.0302,86.95115168179775,28
2018-09,STA.03.0302,70.41028882058055,28
2018-10,STA.03.0302,58.491183611765535,28
2018-11,STA.03.0302,28.167432507024674,28
2018-12,STA.03.0302,35.61087113012028,28
2018-01,STA.03.0401,35.11815308595506,29
2018-02,STA.03.0401,49.14150155344237,29
2018-03,STA.03.0401,62.31031875500706,29
2018-04,STA.03.0401,77.3391361601757,29
2018-05,STA.03.0401,81.2740407841491,29
2018-06,STA.03.0401,79.70422856778947,29
2018-07,STA.03.0401,86.3935682102813,29
2018-08,STA.03.0401,80.45901123198034,29
2018-09,STA.03.0401,66.76265987984011,29
2018-10,STA.03.0401,55.11674016448034,29
2018-11,STA.03.0401,28.065046440232223,29
2018-12,STA.03.0401,34.14290985549295,29
2018-01,STA.03.0403,35.21692653265367,30
2018-02,STA.03.0403,50.666153073810314,30
2018-03,STA.03.0403,64.32811028979413,30
2018-04,STA.03.0403,81.39572568538462,30
2018-05,STA.03.0403,85.45545569279888,30
2018-06,STA.03.0403,82.00740551952035,30
2018-07,STA.03.0403,86.30891853532304,30
2018-08,STA.03.0403,85.65430098081576,30
2018-09,STA.03.0403,69.52157703094477,30
2018-10,STA.03.0403,57.447270799887164,30
2018-11,STA.03.0403,28.645571839201743,30
2018-12,STA.03.0403,34.280281290000005,30
2018-01,STA.03.0502,46.56103389382769,31
2018-02,STA.03.0502,56.49443416528214,31
2018-03,STA.03.0502,68.68312428185715,31
2018-04,STA.03.0502,82.61804208619739,31
2018-05,STA.03.0502,87.23313783033755,31
2018-06,STA.03.0502,74.981699996,31
2018-07,STA.03.0502,82.38824894175809,31
2018-08,STA.03.0502,81.53911376053371,31
2018-09,STA.03.0502,62.067435409637156,31
2018-10,STA.03.0502,57.40526092900875,31
2018-11,STA.03.0502,34.14318922454149,31
2018-12,STA.03.0502,44.422586494022504,31
2018-01,STA.03.0601,34.857515445561795,32
2018-02,STA.03.0601,48.25289407669782,32
2018-03,STA.03.0601,64.51405196195225,32
2018-04,STA.03.0601,79.6075181382148,32
2018-05,STA.03.0601,84.00972253156338,32
2018-06,STA.03.0601,79.92456286149124,32
2018-07,STA.03.0601,94.37886136727414,32
2018-08,STA.03.0601,91.7863960358133,32
2018-09,STA.03.0601,73.41396655120401,32
2018-10,STA.03.0601,57.26688061358146,32
2018-11,STA.03.0601,30.33540265125369,32
2018-12,STA.03.0601,36.79705798734088,32
2018-01,STA.03.1204,31.53820338614407,37
2018-02,STA.03.1204,41.88430217647975,37
2018-03,STA.03.1204,54.875040898674186,37
2018-04,STA.03.1204,66.33413371726743,37
2018-05,STA.03.1204,73.94164506652112,37
2018-06,STA.03.1204,67.48663755094614,37
2018-07,STA.03.1204,75.05819491132769,37
2018-08,STA.03.1204,73.27148309495774,37
2018-09,STA.03.1204,55.04098838526851,37
2018-10,STA.03.1204,43.08777573647391,37
2018-11,STA.03.1204,23.237883378483964,37
2018-12,STA.03.1204,26.808922640857947,37
2018-01,STA.03.1401,34.14117977129214,39
2018-02,STA.03.1401,44.221279933561426,39
2018-03,STA.03.1401,59.5042485835452,39
2018-04,STA.03.1401,74.13067975442598,39
2018-05,STA.03.1401,78.11028410302391,39
2018-06,STA.03.1401,78.83931349393323,39
2018-07,STA.03.1401,91.4478002781294,39
2018-08,STA.03.1401,81.61169943455056,39
2018-09,STA.03.1401,60.94953555496372,39
2018-10,STA.03.1401,48.626160333502106,39
2018-11,STA.03.1401,21.50207848497093,39
2018-12,STA.03.1401,32.54191415972818,39
2018-01,STA.03.1502,56.88492318590843,40
2018-02,STA.03.1502,62.231318813623645,40
2018-03,STA.03.1502,79.30554788312676,40
2018-04,STA.03.1502,99.38530377562499,40
2018-05,STA.03.1502,96.46358168721127,40
2018-06,STA.03.1502,85.80832985722222,40
2018-07,STA.03.1502,105.26201408190141,40
2018-08,STA.03.1502,98.60465168233145,40
2018-09,STA.03.1502,84.73264440856315,40
2018-10,STA.03.1502,76.43498456348765,40
2018-11,STA.03.1502,46.07051743773256,40
2018-12,STA.03.1502,60.85653586080169,40
2018-01,STA.03.1701,39.93511813953587,41
2018-02,STA.03.1701,50.04754360964175,41
2018-03,STA.03.1701,62.157217575043234,41
2018-04,STA.03.1701,73.9566413654018,41
2018-05,STA.03.1701,78.5114169102819,41
2018-06,STA.03.1701,73.61031149564775,41
2018-07,STA.03.1701,82.65739240156118,41
2018-08,STA.03.1701,80.06929295398592,41
2018-09,STA.03.1701,57.714186042325586,41
2018-10,STA.03.1701,44.503710670280896,41
2018-11,STA.03.1701,24.430368264148473,41
2018-12,STA.03.1701,34.74989703407616,41
2018-01,STA.03.1901,30.100701824528837,42
2018-02,STA.03.1901,44.20078848696734,42
2018-03,STA.03.1901,55.16578089474719,42
2018-04,STA.03.1901,69.86123691446221,42
2018-05,STA.03.1901,76.4356244688045,42
2018-06,STA.03.1901,70.9799796767344,42
2018-07,STA.03.1901,75.89426595360182,42
2018-08,STA.03.1901,72.8463881821097,42
2018-09,STA.03.1901,49.78925786718141,42
2018-10,STA.03.1901,46.6097740075,42
2018-11,STA.03.1901,21.70189534524709,42
2018-12,STA.03.1901,25.44144100772472,42
2018-01,STA.03.1904,35.33143258042135,43
2018-02,STA.03.1904,47.132322143590606,43
2018-03,STA.03.1904,59.70153164142054,43
2018-04,STA.03.1904,70.07237208905524,43
2018-05,STA.03.1904,82.93123801800618,43
2018-06,STA.03.1904,74.34344724022047,43
2018-07,STA.03.1904,80.92338958850914,43
2018-08,STA.03.1904,77.6459706301391,43
2018-09,STA.03.1904,61.26794194101596,43
2018-10,STA.03.1904,53.19306319870787,43
2018-11,STA.03.1904,28.436193310348838,43
2018-12,STA.03.1904,37.86947464371831,43
2018-01,STA.03.2301,30.309803367148877,45
2018-02,STA.03.2301,40.5668502299844,45
2018-03,STA.03.2301,54.28819295373239,45
2018-04,STA.03.2301,68.95081658991266,45
2018-05,STA.03.2301,74.95772996651336,45
