Month,AirQualityStation,average_no2,index
2018-01,STA-AL0205A,,2
2018-02,STA-AL0205A,,2
2018-03,STA-AL0205A,,2
2018-04,STA-AL0205A,,2
2018-05,STA-AL0205A,,2
2018-06,STA-AL0205A,,2
2018-07,STA-AL0205A,,2
2018-08,STA-AL0205A,,2
2018-09,STA-AL0205A,,2
2018-10,STA-AL0205A,45.934484611307695,2
2018-11,STA-AL0205A,40.04185832955556,2
2018-12,STA-AL0205A,45.31477057655871,2
2018-01,STA.01.0001,23.163045613409704,3
2018-02,STA.01.0001,30.70309884275298,3
2018-03,STA.01.0001,30.193728000350404,3
2018-04,STA.01.0001,21.492273747861116,3
2018-05,STA.01.0001,21.255817875,3
2018-06,STA.01.0001,16.111248817069445,3
2018-07,STA.01.0001,17.067163180851956,3
2018-08,STA.01.0001,18.088757126100983,3
2018-09,STA.01.0001,18.03529081661337,3
2018-10,STA.01.0001,29.499242918197183,3
2018-11,STA.01.0001,31.23155124618841,3
2018-12,STA.01.0001,25.618868183306056,3
2018-01,STA.01.0002,20.241902218129397,4
2018-02,STA.01.0002,25.88621667148032,4
2018-03,STA.01.0002,25.406704858199447,4
2018-04,STA.01.0002,16.605178596291665,4
2018-05,STA.01.0002,17.07738062672043,4
2018-06,STA.01.0002,13.097590664255913,4
2018-07,STA.01.0002,14.776250651263442,4
2018-08,STA.01.0002,15.044630750887096,4
2018-09,STA.01.0002,13.922301108166668,4
2018-10,STA.01.0002,24.336844068279568,4
2018-11,STA.01.0002,23.992227853166664,4
2018-12,STA.01.0002,24.42139775706595,4
2018-01,STA.01.0003,25.80198406304286,5
2018-02,STA.01.0003,32.395319073738314,5
2018-03,STA.01.0003,31.891412334517984,5
2018-04,STA.01.0003,21.821367963388557,5
2018-05,STA.01.0003,21.18025746366059,5
2018-06,STA.01.0003,17.729857452449277,5
2018-07,STA.01.0003,19.585174070337555,5
2018-08,STA.01.0003,20.853490343189037,5
2018-09,STA.01.0003,20.04096536905797,5
2018-10,STA.01.0003,33.24629713057585,5
2018-11,STA.01.0003,32.7022327662119,5
2018-12,STA.01.0003,26.15426017257384,5
2018-01,STA.02.F202,7.248205053832659,8
2018-02,STA.02.F202,15.774225053675597,8
2018-03,STA.02.F202,20.116453597281552,8
2018-04,STA.02.F202,14.688544629444444,8
2018-05,STA.02.F202,14.354791335739248,8
2018-06,STA.02.F202,13.87079745224404,8
2018-07,STA.02.F202,16.927155532049063,8
2018-08,STA.02.F202,16.951275357375504,8
2018-09,STA.02.F202,14.95072444318498,8
2018-10,STA.02.F202,17.569737853369272,8
2018-11,STA.02.F202,12.640091329902642,8
2018-12,STA.02.F202,10.68509469556157,8
2018-01,STA.02.KA21,32.47029108633065,9
2018-02,STA.02.KA21,32.09330646643815,9
2018-03,STA.02.KA21,35.81350765353495,9
2018-04,STA.02.KA21,19.667790685041663,9
2018-05,STA.02.KA21,17.890331088962263,9
2018-06,STA.02.KA21,14.764663503875,9
2018-07,STA.02.KA21,16.28916576061828,9
2018-08,STA.02.KA21,18.324328234704303,9
2018-09,STA.02.KA21,18.79195453655509,9
2018-10,STA.02.KA21,28.22339686602151,9
2018-11,STA.02.KA21,24.22469600044693,9
2018-12,STA.02.KA21,33.7121808437062,9
2018-01,STA.02.KA71,23.416419017076503,10
2018-02,STA.02.KA71,24.337378702131147,10
2018-03,STA.02.KA71,26.789612809489245,10
2018-04,STA.02.KA71,15.164147882127956,10
2018-05,STA.02.KA71,14.2553681797712,10
2018-06,STA.02.KA71,12.458626361724615,10
2018-07,STA.02.KA71,13.28418061537012,10
2018-08,STA.02.KA71,15.81840884884253,10
2018-09,STA.02.KA71,15.234963619763231,10
2018-10,STA.02.KA71,22.175770203360216,10
2018-11,STA.02.KA71,16.859295064351464,10
2018-12,STA.02.KA71,26.889427091749663,10
2018-01,STA.02.SP10,11.937982166841396,14
2018-02,STA.02.SP10,17.222564514992413,14
2018-03,STA.02.SP10,18.957376448185485,14
2018-04,STA.02.SP10,10.217646777722225,14
2018-05,STA.02.SP10,10.425449683252689,14
2018-06,STA.02.SP10,8.78828802667147,14
2018-07,STA.02.SP10,10.32988909959596,14
2018-08,STA.02.SP10,12.24314180435345,14
2018-09,STA.02.SP10,10.797956903111112,14
2018-10,STA.02.SP10,12.723607354354838,14
2018-11,STA.02.SP10,12.236013507291666,14
2018-12,STA.02.SP10,13.264271635418918,14
2018-01,STA.02.SP18,22.90050931685984,15
2018-02,STA.02.SP18,24.08709914272321,15
2018-03,STA.02.SP18,27.31909640767473,15
2018-04,STA.02.SP18,14.28375863263889,15
2018-05,STA.02.SP18,13.914271267150538,15
2018-06,STA.02.SP18,12.36237956776078,15
2018-07,STA.02.SP18,13.427881068551724,15
2018-08,STA.02.SP18,15.0458740648856,15
2018-09,STA.02.SP18,14.882549569236112,15
2018-10,STA.02.SP18,21.081135435369863,15
2018-11,STA.02.SP18,18.205160349930168,15
2018-12,STA.02.SP18,25.485889352197496,15
2018-01,STA.02.VI12,19.03474967811373,16
2018-02,STA.02.VI12,22.308872741171037,16
2018-03,STA.02.VI12,25.539624617190864,16
2018-04,STA.02.VI12,16.13172898729313,16
2018-05,STA.02.VI12,14.52137957717742,16
2018-06,STA.02.VI12,13.763403965125,16
