Month,AirQualityStation,average_no2,index
2018-01,STA-AL0203A,,1
2018-02,STA-AL0203A,,1
2018-03,STA-AL0203A,,1
2018-04,STA-AL0203A,,1
2018-05,STA-AL0203A,,1
2018-06,STA-AL0203A,,1
2018-07,STA-AL0203A,,1
2018-08,STA-AL0203A,,1
2018-09,STA-AL0203A,,1
2018-10,STA-AL0203A,17.032895734836067,1
2018-11,STA-AL0203A,14.375005747208332,1
2018-12,STA-AL0203A,14.857605239930653,1
2018-01,STA-AL0205A,,3
2018-02,STA-AL0205A,,3
2018-03,STA-AL0205A,,3
2018-04,STA-AL0205A,,3
2018-05,STA-AL0205A,,3
2018-06,STA-AL0205A,,3
2018-07,STA-AL0205A,,3
2018-08,STA-AL0205A,,3
2018-09,STA-AL0205A,,3
2018-10,STA-AL0205A,5.630672349705883,3
2018-11,STA-AL0205A,3.3537858225072466,3
2018-12,STA-AL0205A,6.619965421917613,3
2018-01,STA-AL0206A,,4
2018-02,STA-AL0206A,,4
2018-03,STA-AL0206A,,4
2018-04,STA-AL0206A,,4
2018-05,STA-AL0206A,,4
2018-06,STA-AL0206A,,4
2018-07,STA-AL0206A,,4
2018-08,STA-AL0206A,,4
2018-09,STA-AL0206A,,4
2018-10,STA-AL0206A,14.966487001128405,4
2018-11,STA-AL0206A,,4
2018-12,STA-AL0206A,,4
2018-01,STA.01.0001,1.8850741594194487,5
2018-02,STA.01.0001,4.333585920668741,5
2018-03,STA.01.0001,3.5456164002828854,5
2018-04,STA.01.0001,1.7658994117561686,5
2018-05,STA.01.0001,1.8900344470354609,5
2018-06,STA.01.0001,1.881513936875,5
2018-07,STA.01.0001,1.9617031587201126,5
2018-08,STA.01.0001,1.8406426731460674,5
2018-09,STA.01.0001,2.195611997627365,5
2018-10,STA.01.0001,2.258797708225352,5
2018-11,STA.01.0001,2.310736492554427,5
2018-12,STA.01.0001,2.065240472270804,5
2018-01,STA.01.0003,4.050811168147101,6
2018-02,STA.01.0003,4.161458919840426,6
2018-03,STA.01.0003,4.1297310695815295,6
2018-04,STA.01.0003,2.880960286516035,6
2018-05,STA.01.0003,3.376679752327221,6
2018-06,STA.01.0003,1.9413609991848617,6
2018-07,STA.01.0003,2.0149829550211567,6
2018-08,STA.01.0003,2.2831542781497176,6
2018-09,STA.01.0003,2.7448883172423804,6
2018-10,STA.01.0003,4.626867125274262,6
2018-11,STA.01.0003,4.513574615334303,6
2018-12,STA.01.0003,2.7895349181830986,6
2018-01,STA.02.F202,0.5544980438255978,7
2018-02,STA.02.F202,0.36858290711180125,7
2018-03,STA.02.F202,0.923341954465318,7
2018-04,STA.02.F202,2.0697840344927534,7
2018-05,STA.02.F202,0.5658845070365168,7
2018-06,STA.02.F202,0.8627226048023426,7
2018-07,STA.02.F202,1.9703028477887323,7
2018-08,STA.02.F202,1.2052064225946704,7
2018-09,STA.02.F202,2.141339712995659,7
2018-10,STA.02.F202,1.8253855838061799,7
2018-11,STA.02.F202,1.3338143654862118,7
2018-12,STA.02.F202,1.2652479110042434,7
2018-01,STA.02.KA71,1.846329975238764,8
2018-02,STA.02.KA71,1.4314449666458657,8
2018-03,STA.02.KA71,1.204928929663394,8
2018-04,STA.02.KA71,0.620490065137881,8
2018-05,STA.02.KA71,0.3995114754417952,8
2018-06,STA.02.KA71,0.780930652060958,8
2018-07,STA.02.KA71,0.9265914424157303,8
2018-08,STA.02.KA71,1.1051826503792135,8
2018-09,STA.02.KA71,1.3743096642005814,8
2018-10,STA.02.KA71,1.4954727471428573,8
2018-11,STA.02.KA71,1.1812253861786237,8
2018-12,STA.02.KA71,1.532541156741573,8
2018-01,STA.02.WO15,3.393183780056338,10
2018-02,STA.02.WO15,1.5859821016068643,10
2018-03,STA.02.WO15,1.3836320313728325,10
2018-04,STA.02.WO15,2.391197386734398,10
2018-05,STA.02.WO15,2.201072434044944,10
2018-06,STA.02.WO15,2.250557276768116,10
2018-07,STA.02.WO15,1.6896853456601124,10
2018-08,STA.02.WO15,1.3915734473027261,10
2018-09,STA.02.WO15,1.8767544706676342,10
2018-10,STA.02.WO15,3.8874038619263453,10
2018-11,STA.02.WO15,2.25961239747093,10
2018-12,STA.02.WO15,3.1540573844851907,10
2018-01,STA.02.WO35,1.6597692774474053,11
2018-02,STA.02.WO35,1.794045781903276,11
2018-03,STA.02.WO35,2.162722697380282,11
2018-04,STA.02.WO35,1.9140469546734398,11
2018-05,STA.02.WO35,1.805344623309958,11
2018-06,STA.02.WO35,1.7808563052975326,11
2018-07,STA.02.WO35,1.6495355079803649,11
2018-08,STA.02.WO35,1.2763562184788733,11
2018-09,STA.02.WO35,1.5352177682122095,11
2018-10,STA.02.WO35,1.9378898418502823,11
2018-11,STA.02.WO35,1.5692195999854441,11
2018-12,STA.02.WO35,1.820586358227848,11
2018-01,STA.03.0202,1.9723796033994334,13
2018-02,STA.03.0202,3.2927461139896375,13
2018-03,STA.03.0202,1.5465116279069768,13
2018-04,STA.03.0202,1.5752923976608186,13
2018-05,STA.03.0202,1.6119718309859155,13
2018-06,STA.03.0202,1.3306092124814264,13
2018-07,STA.03.0202,1.934687953555878,13
2018-08,STA.03.0202,2.071830985915493,13
2018-09,STA.03.0202,2.2479935794542536,13
2018-10,STA.03.0202,2.4134751773049645,13
2018-11,STA.03.0202,1.7341211225997046,13
2018-12,STA.03.0202,1.439102564102564,13
2018-01,STA.03.0301,4.379432624113475,14
2018-02,STA.03.0301,4.941679626749611,14
2018-03,STA.03.0301,5.991573033707865,14
2018-04,STA.03.0301,5.008733624454148,14
2018-05,STA.03.0301,3.530324400564175,14
2018-06,STA.03.0301,3.670611439842209,14
2018-07,STA.03.0301,2.0632621951219514,14
2018-08,STA.03.0301,3.547316384180791,14
2018-09,STA.03.0301,1.8547880690737835,14
2018-10,STA.03.0301,4.513456090651558,14
2018-11,STA.03.0301,4.0086887835703005,14
2018-12,STA.03.0301,1.939622641509434,14
2018-01,STA.03.0302,2.7129760225669957,15
2018-02,STA.03.0302,4.69751166407465,15
2018-03,STA.03.0302,4.291139240506329,15
2018-04,STA.03.0302,2.807299270072993,15
2018-05,STA.03.0302,2.2401129943502824,15
2018-06,STA.03.0302,2.0050872093023258,15
2018-07,STA.03.0302,1.850210970464135,15
2018-08,STA.03.0302,2.4008438818565403,15
2018-09,STA.03.0302,2.321319018404908,15
2018-10,STA.03.0302,2.482808022922636,15
2018-11,STA.03.0302,2.481132075471698,15
2018-12,STA.03.0302,1.6060393258426966,15
2018-01,STA.03.0401,4.331926863572433,16
2018-02,STA.03.0401,6.742211838006231,16
2018-03,STA.03.0401,6.151898734177215,16
2018-04,STA.03.0401,4.211482558139535,16
2018-05,STA.03.0401,3.8263009845288325,16
2018-06,STA.03.0401,2.8290468986384267,16
2018-07,STA.03.0401,2.1885593220338984,16
2018-08,STA.03.0401,2.103107344632768,16
2018-09,STA.03.0401,1.6191520467836258,16
2018-10,STA.03.0401,3.128691983122363,16
2018-11,STA.03.0401,3.7880986937590713,16
