idx,AirQualityStation,img_path,s5p_path,Month,Altitude,rural,rural-nearcity,rural-regional,suburban,urban,background,industrial,traffic,o3,no2,pm10
0,STA_ES1370A_0,STA_ES1370A/S2B_MSIL2A_20200806T105619_N0214_R094_T30SVF_20200806T135250.npy,STA_ES1370A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0,50,0,0,0,0,1,1,0,0,60.94165535956581,8.798913043478262,25.508620685927752
1,STA_ES1370A_1,STA_ES1370A/S2B_MSIL2A_20200806T105619_N0214_R094_T30SVF_20200806T135250.npy,STA_ES1370A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,1,50,0,0,0,0,1,1,0,0,52.51324965132496,10.447937131630647,22.74940977716695
2,STA_ES1370A_2,STA_ES1370A/S2B_MSIL2A_20200806T105619_N0214_R094_T30SVF_20200806T135250.npy,STA_ES1370A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,2,50,0,0,0,0,1,1,0,0,44.86720867208672,16.88646288209607,25.456899000725464
3,STA_ES2063A_3,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0,30,0,0,0,0,1,0,0,1,45.4174149657415,26.97016806666667,20.699863759128064
4,STA_ES2063A_4,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,1,30,0,0,0,0,1,0,0,1,42.5915805016839,22.79187592262925,23.56795252077152
5,STA_ES2063A_5,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,2,30,0,0,0,0,1,0,0,1,37.00397163080851,16.34098883460925,20.91638417932204
6,STA_ES2063A_6,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,3,30,0,0,0,0,1,0,0,1,31.96671289791956,30.412205269986128,28.32499999869185
7,STA_ES2063A_7,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,4,30,0,0,0,0,1,0,0,1,46.23140624960938,31.687479674146346,35.43661740482759
8,STA_ES2063A_8,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,5,30,0,0,0,0,1,0,0,1,61.52937158441257,22.72336065469945,21.08722527403846
9,STA_ES2063A_9,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,6,30,0,0,0,0,1,0,0,1,70.77140825029872,14.179516357297295,17.681740369400856
10,STA_ES2063A_10,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,7,30,0,0,0,0,1,0,0,1,66.14465493909337,14.1083897144249,17.620297697943165
